stockcode,year,roc,ey,EBIT,EV,label
BCY,2015,6.02,0.145985401459854,1600000.0,10960000.0,1
BCY,2016,8.36,0.1495652173913043,2580000.0,17250000.0,1
BCY,2017,8.42,0.1667684789248625,5460000.0,32740000.000000004,1
BCZ,2014,-17.02,-0.1576193590582079,-2410000.0,15290000.0,0
BCZ,2015,-2.53,0.057909604519774,615000.0,10620000.0,0
BCZ,2016,-0.6,0.0126968973747016,532000.0,41900000.0,0
BCZ,2017,-2.66,-0.0418535127055306,-1400000.0,33450000.000000004,0
BDA,2015,13.43,0.4617629889083479,7910000.0,17130000.0,1
BDA,2016,11.59,0.6311188811188811,10830000.0,17160000.0,1
BDA,2017,12.82,0.2184068676382511,10940000.0,50090000.0,0
BDF,2015,7.7,0.0732598384822458,11430000.0,156020000.0,0
BDF,2016,10.84,0.0752924350002554,14740000.0,195770000.0,1
BDF,2017,11.33,0.0701369206818091,17570000.0,250510000.0,1
BDR,2014,5.12,0.0811347743165925,10210000.0,125840000.0,0
BDR,2015,-13.25,0.1332345038450847,14380000.0,107930000.0,0
BDR,2016,7.01,0.1067064506962205,15020000.0,140760000.0,0
BDR,2017,17.4,0.1093626677190213,22170000.0,202720000.0,1
BDU,2014,-45.3,-0.348235294117647,-14800000.0,42500000.0,0
BDU,2015,29.37,1.2403598971722365,19300000.0,15560000.0,1
BDU,2016,8.79,-0.0959902794653706,-3160000.0,32920000.0,0
BDU,2017,4.63,0.0157306674507497,1070000.0,68020000.0,0
BDU,2014,-45.3,-0.348235294117647,-14800000.0,42500000.0,0
BDU,2015,29.37,1.2403598971722365,19300000.0,15560000.0,1
BDU,2016,8.79,-0.0959902794653706,-3160000.0,32920000.0,0
BDU,2017,4.63,0.0157306674507497,1070000.0,68020000.0,0
BEC,2015,8.49,0.1065645642134798,18230000.0,171070000.0,1
BEC,2016,4.57,0.1217047141140716,17220000.0,141490000.0,1
BEC,2017,1.01,0.0447405997144217,9400000.0,210100000.0,1
BEH,2014,-8.35,-0.0370670447640267,-9150000.0,246850000.0,0
BEH,2015,-70.45,-0.5796092796092797,-94940000.0,163800000.0,0
BEH,2016,25.05,0.1204411764705882,8189999.999999999,68000000.0,0
BEH,2017,5.37,0.0878355419639823,5170000.0,58860000.0,0
BEI,2014,6.64,0.0105499827049463,305000.0,28910000.0,1
BEI,2015,8.39,0.0531468531468531,988000.0,18590000.0,1
BEI,2016,8.66,0.0941538461538461,1530000.0,16250000.0,1
BEI,2017,14.54,-0.093235294117647,-634000.0,6800000.0,1
BEW,2014,-17.94,-0.0691875439007258,-11820000.0,170840000.0,0
BEW,2015,3.21,0.0242164416893575,4180000.0,172610000.0,1
BEW,2016,4.98,0.0229498887995078,4850000.0,211330000.0,1
BEW,2017,17.89,0.1519823788546255,31740000.0,208840000.0,1
BEZ,2014,-4.21,-0.0179192137120939,-2990000.0,166860000.0,0
BEZ,2015,-0.91,-0.0477936184657162,-3520000.0,73650000.0,0
BEZ,2016,0.14,0.035809577306558,2550000.0,71210000.0,0
BEZ,2017,-7.18,-0.0466288594833018,-2960000.0,63480000.0,0
BFI,2014,-3.88,0.0209097311605993,8610000.0,411770000.0,0
BFI,2015,2.64,0.057924040044959,22160000.0,382570000.0,0
BFI,2016,4.38,0.110938331219053,27110000.0,244370000.0,0
BFI,2017,11.71,0.2807865114256727,58120000.0,206990000.0,0
BFK,2014,-4.16,0.3196049382716049,-776640.0,-2430000.0,0
BFK,2015,2.7,-0.0395929411764705,168270.0,-4250000.0,0
BFK,2016,-4.82,-0.1100856219709208,-681430.0,6190000.0,0
BFK,2017,-2.77,-0.0861809523809523,-180980.0,2100000.0,0
BFT,2014,3.22,0.3718085106382979,6990000.0,18800000.0,0
BFT,2015,-7.25,-0.3630880579010856,-3010000.0,8289999.999999999,0
BFT,2016,-6.82,-2.2,-6160000.0,2800000.0,0
BFT,2017,-5.36,-0.5637795275590551,-3580000.0,6350000.0,0
BFU,2015,0.82,0.0277722277722277,2780000.0,100100000.0,0
BFU,2016,12.36,0.0186954715413377,1800000.0,96280000.0,0
BFU,2017,1.3,0.0408823189744774,3540000.0,86590000.0,1
BHD,2014,-68.11,0.4825907899663048,-12890000.0,-26710000.0,0
BHD,2015,-30.52,-0.7560975609756097,-8369999.999999999,11070000.0,0
BHD,2016,-9.63,-0.0619290911905867,-4000000.0,64590000.0,0
BHD,2017,-16.26,-0.0520185096537418,-3260000.0,62670000.0,0
BHD,2014,-68.11,0.4825907899663048,-12890000.0,-26710000.0,0
BHD,2015,-30.52,-0.7560975609756097,-8369999.999999999,11070000.0,0
BHD,2016,-9.63,-0.0619290911905867,-4000000.0,64590000.0,0
BHD,2017,-16.26,-0.0520185096537418,-3260000.0,62670000.0,0
BHU,2014,10.6,-0.5773420479302832,2650000.0,-4590000.0,1
BHU,2015,9.19,-0.6225165562913907,3760000.0,-6040000.0,1
BHU,2016,7.38,1.1809815950920246,3850000.0,3260000.0,1
BHU,2017,12.67,0.5236220472440944,7980000.0,15240000.0,0
BIP,2014,4.91,0.0145934580089955,10480000.0,718130000.0,0
BIP,2015,1.58,0.0299246383189394,21760000.0,727160000.0,0
BIP,2016,0.62,0.0261051797825118,15820000.0,606010000.0,0
BIP,2017,-39.3,-0.0056754893120458,-3210000.0,565590000.0,0
BIX,2015,5.57,0.2356667722521381,7440000.0,31570000.0,0
BIX,2016,7.67,0.3851063829787234,9050000.0,23500000.0,1
BIX,2017,0.13,-0.0050251256281407,-250000.0,49750000.0,0
BJD,2014,7.05,0.0833333333333333,2050000.0,24600000.0,0
