Name,p_2014,p_2015,p_2016,p_2017,p_2018,p_2019,p_2020,p_2021,p_2022
O5RU.SI,1.395216941833496,1.4700000286102295,1.3550000190734863,1.3600000143051147,1.3700000047683716,1.3799999952316284,1.4600000381469729,1.2899999618530271,1.3899999856948853
O9E.SI,0.9300000071525574,0.7799999713897705,0.2249999940395355,0.1140000000596046,0.0719999969005584,0.0219999998807907,0.0080000003799796,0.0130000002682209,0.0109999999403953
ODBU.SI,,,,,,,,0.6299999952316284,0.6150000095367432
OU8.SI,0.6100000143051147,0.5950000286102295,0.3549999892711639,0.3549999892711639,0.5249999761581421,0.4050000011920929,0.4550000131130218,0.3600000143051147,0.324999988079071
OV8.SI,0.6000000238418579,0.7250000238418579,0.8349999785423279,0.9300000071525574,0.9300000071525574,1.1100000143051147,1.2300000190734863,1.6200000047683716,1.4900000095367432
OXMU.SI,,,,,,,1.0099999904632568,0.8199999928474426,0.7749999761581421
OYY.SI,,,,,,0.5149999856948853,0.5049999952316284,0.7850000262260437,1.6100000143051147
P15.SI,0.2199999988079071,0.3199999928474426,0.375,0.3400000035762787,0.375,0.3650000095367431,0.3149999976158142,0.324999988079071,0.4050000011920929
P34.SI,3.240000009536743,4.0,2.299999952316284,2.25,1.6399999856948853,1.4500000476837158,0.959999978542328,0.7300000190734863,0.7300000190734863
P36.SI,0.2199999988079071,0.125,0.209999993443489,0.1800000071525573,0.3199999928474426,0.0799999982118606,0.1000000014901161,0.1480000019073486,0.1459999978542328
P40U.SI,0.7649999856948853,0.8299999833106995,0.7350000143051147,0.7649999856948853,0.7699999809265137,0.7149999737739563,0.7350000143051147,0.5249999761581421,0.6200000047683716
P52.SI,0.845221996307373,0.8036540150642395,0.5450059771537781,0.5680999755859375,0.4199999868869781,0.2349999994039535,0.3650000095367431,0.3050000071525574,0.3350000083446502
P74.SI,0.1000000014901161,0.1040000021457672,0.1040000021457672,0.3199999928474426,0.1780000030994415,0.1700000017881393,0.1099999994039535,0.0350000001490116,0.0399999991059303
P7VU.SI,0.8450000286102295,0.7149999737739563,0.4749999940395355,0.4250000119209289,0.4149999916553497,,,,
P8A.SI,1.190000057220459,0.8899999856948853,1.6699999570846558,0.9700000286102296,0.7450000047683716,0.3700000047683716,0.4250000119209289,0.3849999904632568,0.3700000047683716
P8Z.SI,0.9100000262260436,1.0049999952316284,0.6800000071525574,0.800000011920929,0.7450000047683716,0.6899999976158142,0.6800000071525574,0.5199999809265137,0.550000011920929
P9D.SI,0.75,0.6600000262260437,0.3700000047683716,0.6700000166893005,0.5400000214576721,0.4000000059604645,0.3799999952316284,0.449999988079071,0.625
PA3.SI,0.3600000143051147,0.2649999856948852,0.2849999964237213,0.2349999994039535,0.2649999856948852,0.2150000035762787,0.1490000039339065,0.0710000023245811,0.0649999976158142
Q01.SI,0.800000011920929,1.0049999952316284,1.034999966621399,1.4550000429153442,1.1399999856948853,0.699999988079071,0.7699999809265137,0.9200000166893004,0.8849999904632568
Q0F.SI,1.409999966621399,1.909999966621399,2.200000047683716,1.995000004768372,2.0,1.8200000524520876,1.899999976158142,1.690000057220459,2.069999933242798
Q5T.SI,0.7850000262260437,0.8450000286102295,0.6399999856948853,0.6000000238418579,0.7649999856948853,0.6650000214576721,0.6800000071525574,0.5899999737739563,0.5550000071525574
