Trading Name,Trading Code,RIC,Mkt Cap ($M),Sector
YZJ Shipbldg CNY,SO7,,,
Sri Trang Gloves,STG,STGT.BK,85897.844,Healthcare Services
Tat Seng Pkg,T12,TASE.SI,119.472,Applied Resources
RH PetroGas,T13,RHPG.SI,145.363,Energy - Fossil Fuels
Tianjin ZX USD,T14,TIAN.SI,2532.525,Pharmaceuticals & Medical Research
Tuan Sing,T24,TSHS.SI,540.199,Real Estate
SPH,T39,SPRM.SI,3821.761,Cyclical Consumer Services
TeleChoice Intl,T41,TCIN.SI,77.252,Technology Equipment
Yunnan Energy,T43,1298.HK,297.472,Technology Equipment
TIH,T55,TIHL.SI,53.171,Collective Investments
ValueMax,T6I,VAMG.SI,244.477,Retailers
Suntec Reit,T82U,SUNT.SI,4358.816,Real Estate
CreditBureauAsia,TCU,CRED.SI,244.213,Industrial & Commercial Services
Frasers Property,TQ5,FRPL.SI,4338.283,Real Estate
OUE Com Reit,TS0U,OUEC.SI,2231.469,Real Estate
SingaporeLandGrp,U06,SIND.SI,3724.935,Real Estate
Avarga,U09,AVAR.SI,256.539,Cyclical Consumer Products
UOB Kay Hian,U10,UOKH.SI,1398.718,Banking & Investment Services
UOB,U11,UOBH.SI,50219.438,Banking & Investment Services
UOI,U13,UOIS.SI,404.846,Insurance
UOL,U14,UTOS.SI,6155.262,Real Estate
Sarine Tech,U77,SARI.SI,197.923,Industrial Goods
Sembcorp Ind,U96,SCIL.SI,4075.609,Utilities
China Everbright,U9E,CEWL.SI,1771.087,Utilities
IREIT Global SGD,UD1U,IREI.SI,739.408,Real Estate
Japfa,UD2,JAPF.SI,1264.145,Food & Beverages
Venture,V03,VENM.SI,5132.504,Technology Equipment
Koufu,VL6,KOUF.SI,424.7,Cyclical Consumer Services
Vertex SPAC,VT1,,,
Vertex SPAC U,VTA,,,
Wing Tai,W05,WTHS.SI,1397.312,Real Estate
VICOM Ltd,WJP,VCOM.SI,719.773,Industrial & Commercial Services
GHY Culture,XJB,GHYC.SI,536.896,Cyclical Consumer Services
AEM USD,XWA,,,
ARA HTrust USD,XZL,ARAU.SI,275.161,Real Estate
Yeo Hiap Seng,Y03,YHSS.SI,528.643,Food & Beverages
Green Build,Y06,GREE.SI,3.679,Industrial & Commercial Services
AnAn Intl,Y35,ANAN.SI,71.55,Energy - Fossil Fuels
MDR Limited,Y3D,MDRT.SI,61.681,Retailers
SMI Vantage,Y45,SMIV.SI,29.614,Banking & Investment Services
ThaiBev,Y92,TBEV.SI,16506.225,Food & Beverages
Yanlord Land,Z25,YNLG.SI,2228.144,Real Estate
Yoma Strategic,Z59,YOMA.SI,298.095,Real Estate
Singtel,Z74,STEL.SI,40130.477,Telecommunications Services
Singtel 10,Z77,,,
